,combine_year,player_name,first_name,last_name,college,position,height_inches,weight_lbs,hand_size_inches,arm_length_inches,40_yard_dash,bench_press_reps,vertical_leap_inches,broad_jump_inches,3_cone_drill,20_yard_shuttle,60_yard_shuttle,hand_size_inches_missed,arm_length_inches_missed,40_yard_dash_missed,bench_press_reps_missed,vertical_leap_inches_missed,broad_jump_inches_missed,3_cone_drill_missed,20_yard_shuttle_missed,60_yard_shuttle_missed
122,2017,carlos henderson,carlos,henderson,louisiana_tech,wr,70.75,199,9.13,31.38,4.46,13.0,36.0,131.0,7.18,4.35,,0,0,0,0,0,0,0,0,1
123,2017,deangelo henderson,deangelo,henderson,coastal_carolina_sc,rb,67.5,208,9.5,29.0,4.48,20.0,34.0,120.0,,,,0,0,0,0,0,0,1,1,1
124,2017,trey hendrickson,trey,hendrickson,florida_atlantic,dl,75.88,266,9.88,32.0,4.65,,33.5,122.0,7.03,4.4,12.43,0,0,0,1,0,0,0,0,0
125,2017,jordan herdman,jordan,herdman,simon_fraser_canada,lb,71.0,238,8.13,29.88,,,,,,,,0,0,1,1,1,1,1,1,1
126,2017,cole hikutini,cole,hikutini,louisville,fb_te,76.13,247,10.0,32.75,,20.0,,,,4.34,,0,0,1,0,1,1,1,0,1
127,2017,brian hill,brian,hill,wyoming,rb,72.63,219,8.88,31.38,4.54,15.0,34.0,125.0,7.03,4.32,,0,0,0,0,0,0,0,0,1
128,2017,delano hill,delano,hill,michigan,db,72.63,216,9.38,32.13,4.47,17.0,33.5,115.0,6.96,4.27,,0,0,0,0,0,0,0,0,1
129,2017,bucky hodges,bucky,hodges,virginia_tech,fb_te,78.13,257,10.13,32.5,4.57,18.0,39.0,134.0,,4.45,11.46,0,0,0,0,0,0,1,0,0
130,2017,krishawn hogan,krishawn,hogan,marian_in,wr,74.63,222,9.88,32.13,4.56,13.0,36.5,124.0,6.74,4.21,,0,0,0,0,0,0,0,0,1
131,2017,colin holba,colin,holba,louisville,ls,76.38,248,9.63,33.63,5.19,,28.0,115.0,,,,0,0,0,1,0,0,1,1,1
132,2017,mack hollins,mack,hollins,north_carolina,wr,75.75,221,9.75,33.25,4.53,,,,,,,0,0,0,1,1,1,1,1,1
133,2017,elijah hood,elijah,hood,north_carolina,rb,71.75,232,9.38,30.38,,18.0,,,,4.34,,0,0,1,0,1,1,1,0,1
134,2017,malik hooker,malik,hooker,ohio_state,db,73.38,206,10.75,32.25,,,,,,,,0,0,1,1,1,1,1,1,1
135,2017,bug howard,bug,howard,north_carolina,wr,75.63,221,10.38,33.13,4.58,,37.5,119.0,6.95,4.14,,0,0,0,1,0,0,0,0,1
136,2017,oj howard,oj,howard,alabama,fb_te,77.63,251,10.0,33.75,4.51,22.0,30.0,121.0,6.85,4.16,12.38,0,0,0,0,0,0,0,0,0
137,2017,marlon humphrey,marlon,humphrey,alabama,lb,72.25,197,8.75,32.25,4.41,10.0,,125.0,6.75,4.28,,0,0,0,0,1,0,0,0,1
138,2017,hayden hunt,hayden,hunt,colorado_state,k_p,71.75,212,9.25,29.88,,,,,,,,0,0,1,1,1,1,1,1,1
139,2017,kareem hunt,kareem,hunt,toledo,rb,70.5,216,9.63,31.38,4.62,18.0,36.5,119.0,,,,0,0,0,0,0,0,1,1,1
140,2017,danny isidora,danny,isidora,miami_fl,ol,75.25,306,9.88,33.0,5.03,26.0,29.0,94.0,8.13,4.9,,0,0,0,0,0,0,0,0,1
141,2017,adoree jackson,adoree,jackson,southern_california,lb,69.75,186,9.25,31.38,4.42,,36.0,122.0,,,,0,0,0,1,0,0,1,1,1
142,2017,eddie jackson,eddie,jackson,alabama,db,72.0,201,9.25,32.25,,10.0,,,,4.2,11.5,0,0,1,0,1,1,1,0,0
143,2017,blake jarwin,blake,jarwin,oklahoma_state,fb_te,77.0,248,,,,,,,,4.33,12.06,1,1,1,1,1,1,1,0,0
144,2017,lorenzo jerome,lorenzo,jerome,st._francis_pa,db,70.5,204,8.63,30.63,4.7,11.0,,,7.63,4.68,11.57,0,0,0,0,1,1,0,0,0
145,2017,dorian johnson,dorian,johnson,pittsburgh,ol,76.63,300,10.88,35.25,5.27,21.0,30.0,114.0,8.39,5.09,,0,0,0,0,0,0,0,0,1
146,2017,jadar johnson,jadar,johnson,clemson,db,72.5,206,9.25,32.0,4.6,19.0,33.0,119.0,6.9,4.2,,0,0,0,0,0,0,0,0,1
147,2017,jaleel johnson,jaleel,johnson,iowa,dl,74.88,316,9.63,33.25,5.38,19.0,28.0,100.0,7.64,4.75,,0,0,0,0,0,0,0,0,1
148,2017,john johnson,john,johnson,boston_college,db,72.63,208,9.88,32.0,4.61,14.0,37.0,119.0,6.72,4.18,,0,0,0,0,0,0,0,0,1
149,2017,roderick johnson,roderick,johnson,florida_state,ol,78.63,298,10.75,36.0,,,,,,5.17,,0,0,1,1,1,1,1,0,1
150,2017,cameron johnston,cameron,johnston,ohio_state,k_p,71.25,194,9.0,31.0,4.92,,,,,,,0,0,0,1,1,1,1,1,1
151,2017,aaron jones,aaron,jones,texas-el_paso,rb,69.13,208,9.5,32.5,4.56,16.0,37.5,127.0,6.82,4.2,,0,0,0,0,0,0,0,0,1
152,2017,dj jones,dj,jones,mississippi,dl,72.63,319,10.25,32.5,5.04,25.0,28.5,108.0,7.73,4.66,,0,0,0,0,0,0,0,0,1
153,2017,jarron jones,jarron,jones,notre_dame,dl,77.63,316,10.5,35.5,5.33,22.0,20.5,,,4.53,,0,0,0,0,0,1,1,0,1
154,2017,josh jones,josh,jones,north_carolina_state,db,73.25,220,9.38,32.0,4.41,20.0,37.5,132.0,,4.27,,0,0,0,0,0,0,1,0,1
155,2017,nazair jones,nazair,jones,north_carolina,dl,76.63,304,10.88,34.63,5.11,,24.5,101.0,7.93,,,0,0,0,1,0,0,0,1,1
156,2017,sidney jones,sidney,jones,washington,lb,71.75,186,9.38,31.5,4.47,,33.5,123.0,7.02,4.28,,0,0,0,1,0,0,0,0,1
157,2017,zay jones,zay,jones,east_carolina_nc,wr,73.88,201,9.0,32.5,4.45,15.0,36.5,133.0,6.79,4.01,,0,0,0,0,0,0,0,0,1
158,2017,brad kaaya,brad,kaaya,miami_fl,qb,75.75,214,9.75,32.0,,,,,,,,0,0,1,1,1,1,1,1,1
159,2017,kyle kalis,kyle,kalis,michigan,ol,76.0,308,10.25,32.88,,,,,,4.62,,0,0,1,1,1,1,1,0,1
